scrip_code,big_ord_client_id,big_ord_member_code,big_order_type,order_id,,,,,,,,,,,,,,,,,,,,,,,
555835,Z1031055,587,SELL,56421000020435225,,,,,,,,,,,,,,,,,,,,,,,
555835,Q107714,696,BUY,67321000020398181,,,,,,,,,,,,,,,,,,,,,,,
555835,L16WN,648,BUY,62500100030122426,,,,,,,,,,,,,,,,,,,,,,,
555835,H20S200,3027,BUY,300421100020263571,,,,,,,,,,,,,,,,,,,,,,,
555835,K171R012,96,BUY,7300200030243434,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
