scrip_code,big_ord_client_id,big_ord_member_code,big_order_type,order_id
556114,R998531,439,SELL,41600400020243182
556114,L16WN,3036,BUY,301301600020114467
556114,584202,416,BUY,39320300020375714
556114,X3RA,3036,BUY,301301600020114472
556114,E239P002,258,SELL,23530000020122901
